timestamp,reference,reconstructed,raw
15.07,69.89473,69.88991623850038,6989
15.08,69.870055,69.86991626069556,6987
15.09,69.845394,69.84991628289077,6985
15.1,69.820747,69.81991631618357,6982
15.11,69.796115,69.79991633837875,6980
15.12,69.771497,69.76991637167154,6977
15.13,69.746894,69.74991639386673,6975
15.14,69.722304,69.71991642715952,6972
15.15,69.697729,69.69991644935473,6970
15.16,69.673169,69.66991648264752,6967
15.17,69.648622,69.64991650484271,6965
15.18,69.62409,69.6199165381355,6962
15.19,69.599572,69.59991656033068,6960
15.2,69.575068,69.5799165825259,6958
15.21,69.550579,69.54991661581869,6955
15.22,69.526103,69.52991663801387,6953
15.23,69.501642,69.49991667130666,6950
15.24,69.477195,69.47991669350185,6948
15.25,69.452762,69.44991672679464,6945
15.26,69.428344,69.42991674898985,6943
15.27,69.403939,69.39991678228265,6940
15.28,69.379549,69.37991680447783,6938
15.29,69.355172,69.35991682667301,6936
15.3,69.33081,69.3299168599658,6933
15.31,69.306462,69.30991688216102,6931
15.32,69.282128,69.27991691545381,6928
15.33,69.257808,69.259916937649,6926
15.34,69.233502,69.22991697094179,6923
15.35,69.20921,69.20991699313697,6921
15.36,69.184932,69.17991702642976,6918
15.37,69.160668,69.15991704862498,6916
15.38,69.136418,69.13991707082016,6914
15.39,69.112182,69.10991710411295,6911
15.4,69.08796,69.08991712630814,6909
15.41,69.063752,69.05991715960093,6906
15.42,69.039557,69.03991718179614,6904
15.43,69.015377,69.01991720399133,6902
15.44,68.991211,68.98991723728412,6899
15.45,68.967058,68.9699172594793,6897
15.46,68.94292,68.9399172927721,6894
15.47,68.918795,68.91991731496731,6892
15.48,68.894684,68.8899173482601,6889
15.49,68.870587,68.86991737045528,6887
15.5,68.846504,68.84991739265047,6885
15.51,68.822435,68.81991742594326,6882
15.52,68.798379,68.79991744813847,6880
15.53,68.774338,68.76991748143126,6877
15.54,68.75031,68.74991750362645,6875
15.55,68.726295,68.72991752582163,6873
15.56,68.702295,68.69991755911443,6870
15.57,68.678308,68.67991758130964,6868
15.58,68.654335,68.64991761460243,6865
15.59,68.630376,68.62991763679761,6863
15.6,68.606431,68.6099176589928,6861
15.61,68.582499,68.57991769228559,6858
15.62,68.558581,68.5599177144808,6856
15.63,68.534676,68.5299177477736,6853
15.64,68.510785,68.50991776996878,6851
15.65,68.486908,68.48991779216396,6849
